ts,instrument,qty,price,fee,realized
2026-06-03T23:07:20.671902+00:00,AMD,-234.0,207.26,0.0,-959.4000000000053
2026-06-03T23:07:20.671907+00:00,INTC,2217.0,44.02,0.0,505.24999999999875
2026-06-03T23:07:20.671969+00:00,AAPL,2.0,172.84,0.0,-3.7799999999999727
2026-06-03T23:07:20.671975+00:00,INTC,-1142.0,44.85,0.0,947.8599999999981
2026-06-03T23:07:20.671980+00:00,AMD,254.0,198.48000000000002,0.0,0.0
2026-06-03T23:07:20.672019+00:00,AAPL,292.0,173.23,0.0,-665.759999999992
2026-06-03T23:07:20.672025+00:00,MSFT,-122.0,415.09000000000003,0.0,0.0
2026-06-03T23:07:20.672030+00:00,AMD,-254.0,202.67000000000002,0.0,1064.2599999999993
2026-06-03T23:07:20.672036+00:00,INTC,1127.0,45.2,0.0,0.0
2026-06-03T23:07:20.672076+00:00,MSFT,2.0,415.26,0.0,-0.33999999999991815
2026-06-03T23:07:20.672082+00:00,INTC,25.0,43.25,0.0,0.0
2026-06-03T23:07:20.672121+00:00,MSFT,5.0,425.58,0.0,-52.44999999999976
2026-06-03T23:07:20.672127+00:00,INTC,-1152.0,42.77,0.0,-2750.609999999997
2026-06-03T23:07:20.672132+00:00,AMD,261.0,187.47,0.0,0.0
2026-06-03T23:07:20.672172+00:00,MSFT,234.0,416.6,0.0,-173.64999999999895
2026-06-03T23:07:20.672178+00:00,AMD,-522.0,191.01,0.0,923.9399999999979
2026-06-03T23:07:20.672261+00:00,AAPL,-288.0,173.65,0.0,0.0
2026-06-03T23:07:20.672266+00:00,MSFT,-119.0,417.23,0.0,74.96999999999946
2026-06-03T23:07:20.672286+00:00,AMD,523.0,190.71,0.0,78.29999999999555
2026-06-03T23:07:20.672347+00:00,AAPL,13.0,176.14000000000001,0.0,-32.37000000000012
2026-06-03T23:07:20.672353+00:00,AMD,5.0,181.39000000000001,0.0,0.0
2026-06-03T23:07:20.672393+00:00,AAPL,7.0,178.65,0.0,-35.0
2026-06-03T23:07:20.672399+00:00,AMD,-1.0,179.68,0.0,-10.855468164794019
2026-06-03T23:07:20.672439+00:00,AAPL,552.0,171.41,0.0,600.3200000000024
2026-06-03T23:07:20.672448+00:00,MSFT,-113.0,429.3,0.0,0.0
2026-06-03T23:07:20.672453+00:00,AMD,-266.0,178.56,0.0,-3185.47453183521
2026-06-03T23:07:20.672493+00:00,NVDA,-51.0,942.83,0.0,0.0
2026-06-03T23:07:20.672498+00:00,AAPL,-284.0,172.24,0.0,235.72000000000355
2026-06-03T23:07:20.672504+00:00,MSFT,226.0,428.95,0.0,39.55000000000257
2026-06-03T23:07:20.672589+00:00,NVDA,1.0,950.54,0.0,-7.709999999999923
2026-06-03T23:07:20.672595+00:00,MSFT,1.0,423.03000000000003,0.0,0.0
2026-06-03T23:07:20.672637+00:00,NVDA,102.0,926.47,0.0,818.0000000000007
2026-06-03T23:07:20.672643+00:00,MSFT,-114.0,421.89,0.0,-798.9200000000009
2026-06-03T23:07:20.672648+00:00,INTC,-1162.0,41.99,0.0,0.0
2026-06-03T23:07:20.672688+00:00,AAPL,-272.0,173.32,0.0,0.0
2026-06-03T23:07:20.672694+00:00,INTC,1162.0,43.78,0.0,-2079.979999999999
2026-06-03T23:07:20.672733+00:00,NVDA,-52.0,902.66,0.0,-1238.120000000003
2026-06-03T23:07:20.672739+00:00,AAPL,548.0,171.54,0.0,484.1600000000003
2026-06-03T23:07:20.672745+00:00,INTC,-1074.0,44.13,0.0,0.0
2026-06-03T23:07:20.672853+00:00,INTC,1074.0,44.51,0.0,-408.1199999999951
2026-06-03T23:07:20.672859+00:00,AMD,-256.0,183.23,0.0,0.0
